draft_m,displacement_t,lcf_m_ap,mct_tm_cm,tpc_t_cm
9.61,21275.37,63.776,247.37,26.53
9.62,21301.88,63.773,247.6,26.54
9.63,21328.4,63.769,247.83,26.55
9.64,21354.92,63.766,248.07,26.56
9.65,21381.46,63.763,248.3,26.57
9.66,21408.0,63.76,248.53,26.58
9.67,21434.56,63.757,248.77,26.59
9.68,21461.12,63.754,249.0,26.6
9.69,21487.69,63.751,249.24,26.61
9.7,21514.27,63.748,249.47,26.62
9.71,21540.86,63.745,249.7,26.63
9.72,21567.46,63.742,249.94,26.64
9.73,21594.07,63.739,250.17,26.64
9.74,21620.69,63.736,250.4,26.65
9.75,21647.32,63.733,250.64,26.66
9.76,21674.15,63.731,250.87,26.67
9.77,21700.61,63.728,251.11,26.68
9.78,21727.26,63.725,251.34,26.69
9.79,21753.92,63.723,251.57,26.7
9.8,21780.61,63.72,251.81,26.71
9.81,21807.29,63.718,252.04,26.72
9.82,21833.99,63.715,252.28,26.73
9.83,21860.68,63.713,252.51,26.74
9.84,21887.41,63.711,252.74,26.75
9.85,21914.13,63.708,252.98,26.76
9.86,21940.86,63.706,253.21,26.77
9.87,21967.6,63.704,253.44,26.78
9.88,21994.36,63.701,253.68,26.79
9.89,22021.11,63.699,253.91,26.8
9.9,22047.89,63.697,254.14,26.81
9.91,22074.68,63.695,254.38,26.81
9.92,22101.46,63.693,254.61,26.82
9.93,22128.24,63.691,254.84,26.83
9.94,22155.07,63.689,255.07,26.84
9.95,22181.9,63.687,255.31,26.85
9.96,22208.72,63.685,255.54,26.86
9.97,22235.55,63.683,255.77,26.87
9.98,22262.4,63.681,256.01,26.88
9.99,22289.25,63.679,256.24,26.89
10.0,22316.12,63.678,256.47,26.9
